OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1091,2020-001AC,2025-07-21T10:50:07.516032,15.56914902,0.0008112,53.0481,265.0827,310.6952,49.3353,0,U,44940,999,30554,1.14E-03,8.39E-04,0
STARLINK-1094,2020-001AD,2025-07-21T12:24:55.575360,15.06404928,0.0001199,53.0559,284.3925,79.8059,280.3065,0,U,44941,999,30528,9.23E-05,1.09E-05,0
STARLINK-1096,2020-001AE,2025-07-21T10:22:12.248544,15.66862222,0.0003292,52.9976,94.664,85.3412,274.7979,0,U,44942,999,30792,4.20E-04,4.50E-04,0
STARLINK-1122,2020-001AM,2025-07-21T12:56:46.721760,15.06403085,0.0001046,53.0565,284.2932,90.1476,269.9633,0,U,44949,999,30528,2.98E-05,1.63E-06,0
STARLINK-1066,2020-001AS,2025-07-21T02:39:35.509824,15.71711962,0.001483,53.0505,240.1741,327.7142,32.2966,0,U,44954,999,30581,1.03E-03,1.38E-03,0
STARLINK-1080,2020-001AZ,2025-07-20T20:58:43.853952,15.06395426,0.0001245,53.0549,267.2845,92.4075,267.7057,0,U,44961,999,30547,-1.24E-05,-4.66E-06,0
STARLINK-1090,2020-001BG,2025-07-20T21:04:02.488512,15.06397591,0.0001096,53.0552,267.2677,83.8341,276.2773,0,U,44968,999,30547,5.37E-05,5.18E-06,0
STARLINK-1093,2020-001BJ,2025-07-20T22:00:01.999584,15.98473701,0.0003437,53.0333,166.1685,45.2008,336.5126,0,U,44970,999,597,6.64E-04,3.17E-03,5.25E-05
STARLINK-1107,2020-001BL,2025-07-21T10:14:38.519808,15.47241772,0.0000362,53.0156,215.0057,334.2161,25.8827,0,U,44972,999,30625,7.30E-04,3.75E-04,0
STARLINK-1115,2020-001BM,2025-07-21T04:35:28.334688,15.80265009,0.0008483,53.0297,182.027,6.3719,353.7408,0,U,44973,999,30669,9.47E-04,1.85E-03,0
STARLINK-1098,2020-001D,2025-07-21T06:00:00.999648,15.77052536,0.0012719,53.0526,279.051,306.6537,235.0048,0,U,44917,999,30533,8.32E-04,1.40E-03,0
STARLINK-1104,2020-001J,2025-07-21T05:18:16.015680,15.80600009,0.0011526,53.0544,280.4814,310.962,49.0403,0,U,44922,999,30531,7.87E-04,1.56E-03,0
STARLINK-1112,2020-001M,2025-07-21T11:13:22.405152,15.377971,0.0007227,53.0542,290.4648,271.4722,88.5453,0,U,44925,999,30519,1.25E-03,4.71E-04,0
STARLINK-1114,2020-001P,2025-07-21T13:20:39.401376,15.06401161,0.0001421,53.055,304.218,89.8313,270.2839,0,U,44927,999,30501,5.58E-05,5.50E-06,0
