NORAD_CAT_ID,OBJECT_NUMBER,OBJECT_NAME,INTLDES,OBJECT_ID,RCS,RCS_SIZE,COUNTRY,MSG_EPOCH,DECAY_EPOCH,SOURCE,MSG_TYPE,PRECEDENCE
15830,15830,SL-6 R/B(2),1985-049D,1985-049D,0,LARGE,CIS,7/28/2024 17:19,7/31/2024 17:43,TIP_msg,Prediction,3
15830,15830,SL-6 R/B(2),1985-049D,1985-049D,0,LARGE,CIS,7/27/2024 20:48,7/31/2024 17:43,TIP_msg,Prediction,3
15830,15830,SL-6 R/B(2),1985-049D,1985-049D,0,LARGE,CIS,7/29/2024 17:32,7/31/2024 17:42,TIP_msg,Prediction,3
12755,12755,COSMOS 1275 DEB,1981-053CY,1981-053CY,0,SMALL,CIS,7/10/2024 23:09,7/31/2024 0:00,60day_msg,Prediction,4
12755,12755,COSMOS 1275 DEB,1981-053CY,1981-053CY,0,SMALL,CIS,7/4/2024 4:07,7/31/2024 0:00,60day_msg,Prediction,4
14631,14631,SL-3 DEB,1983-075E,1983-075E,0,SMALL,CIS,6/19/2024 1:55,7/31/2024 0:00,60day_msg,Prediction,4
14756,14756,TITAN 3C TRANSTAGE DEB,1965-108Y,1965-108Y,0,MEDIUM,US,7/17/2024 20:36,7/31/2024 0:00,60day_msg,Prediction,4
14819,14819,COSMOS 1544,1984-027A,1984-027A,0,LARGE,CIS,6/26/2024 5:47,7/31/2024 0:00,60day_msg,Prediction,4
14819,14819,COSMOS 1544,1984-027A,1984-027A,0,LARGE,CIS,6/6/2024 6:29,7/31/2024 0:00,60day_msg,Prediction,4
27751,27751,SL-16 DEB,1992-093JN,1992-093JN,0,SMALL,CIS,6/13/2024 3:48,7/31/2024 0:00,60day_msg,Prediction,4
44924,44924,STARLINK-1111,2020-001L,2020-001L,0,LARGE,US,7/17/2024 20:36,7/31/2024 0:00,60day_msg,Prediction,4
47369,47369,STARLINK-2085,2021-005W,2021-005W,0,LARGE,US,7/10/2024 23:09,7/31/2024 0:00,60day_msg,Prediction,4
47737,47737,STARLINK-2148,2021-017R,2021-017R,0,LARGE,US,7/17/2024 20:36,7/31/2024 0:00,60day_msg,Prediction,4
47900,47900,STARLINK-2360,2021-021AS,2021-021AS,0,LARGE,US,7/25/2024 4:22,7/31/2024 0:00,60day_msg,Prediction,4
47961,47961,3B5GSAT,2021-022AF,2021-022AF,0,SMALL,UK,7/10/2024 23:09,7/31/2024 0:00,60day_msg,Prediction,4
47964,47964,SMOG-1,2021-022AJ,2021-022AJ,0,SMALL,HUN,7/10/2024 23:09,7/31/2024 0:00,60day_msg,Prediction,4
47964,47964,SMOG-1,2021-022AJ,2021-022AJ,0,SMALL,HUN,7/4/2024 4:07,7/31/2024 0:00,60day_msg,Prediction,4
49604,49604,COSMOS 1408 DEB,1982-092CV,1982-092CV,0,MEDIUM,CIS,7/4/2024 4:07,7/31/2024 0:00,60day_msg,Prediction,4
49840,49840,COSMOS 1408 DEB,1982-092KX,1982-092KX,0,SMALL,CIS,6/6/2024 6:29,7/31/2024 0:00,60day_msg,Prediction,4
45101,45101,STARLINK-1194,2020-006BK,2020-006BK,0,LARGE,US,7/26/2024 4:12,7/30/2024 1:07,TIP_msg,Prediction,3
45101,45101,STARLINK-1194,2020-006BK,2020-006BK,0,LARGE,US,7/28/2024 23:58,7/30/2024 0:21,TIP_msg,Prediction,3
45101,45101,STARLINK-1194,2020-006BK,2020-006BK,0,LARGE,US,7/29/2024 11:58,7/30/2024 0:11,TIP_msg,Prediction,3
14756,14756,TITAN 3C TRANSTAGE DEB,1965-108Y,1965-108Y,0,MEDIUM,US,2/1/2025 17:22,7/30/2024 0:00,satcat,Historical,1
14756,14756,TITAN 3C TRANSTAGE DEB,1965-108Y,1965-108Y,0,MEDIUM,US,8/2/2024 6:52,7/30/2024 0:00,decay_msg,Historical,2
14756,14756,TITAN 3C TRANSTAGE DEB,1965-108Y,1965-108Y,0,MEDIUM,US,7/25/2024 4:22,7/30/2024 0:00,60day_msg,Prediction,4
31953,31953,FENGYUN 1C DEB,1999-025CNE,1999-025CNE,0,SMALL,PRC,7/10/2024 23:09,7/30/2024 0:00,60day_msg,Prediction,4
31953,31953,FENGYUN 1C DEB,1999-025CNE,1999-025CNE,0,SMALL,PRC,7/4/2024 4:07,7/30/2024 0:00,60day_msg,Prediction,4
45101,45101,STARLINK-1194,2020-006BK,2020-006BK,0,LARGE,US,2/1/2025 17:22,7/30/2024 0:00,satcat,Historical,1
45101,45101,STARLINK-1194,2020-006BK,2020-006BK,0,LARGE,US,7/30/2024 3:54,7/30/2024 0:00,decay_msg,Historical,2
45101,45101,STARLINK-1194,2020-006BK,2020-006BK,0,LARGE,US,7/29/2024 18:02,7/30/2024 0:00,TIP_msg,Prediction,3
45980,45980,FREGAT DEB,2011-037GM,2011-037GM,0,SMALL,CIS,6/19/2024 1:55,7/30/2024 0:00,60day_msg,Prediction,4
47181,47181,STARLINK-1927,2020-088BM,2020-088BM,0,LARGE,US,6/13/2024 3:48,7/30/2024 0:00,60day_msg,Prediction,4
47439,47439,YUSAT-1,2021-006AC,2021-006AC,0,MEDIUM,TWN,2/1/2025 17:22,7/30/2024 0:00,satcat,Historical,1
