OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1008,2019-074B,2025-07-21T03:42:06.300576,15.06399763,.0001561,53.0561,146.0249,88.3864,271.7304,0,U,44714,999,31402,.2081E-4,.28E-6,0
STARLINK-1010,2019-074D,2025-07-21T12:09:08.491392,15.60501830,.000219,53.0532,121.2578,161.8841,198.2250,0,U,44716,999,31438,.86526E-3,.7275E-3,0
STARLINK-1011,2019-074E,2025-07-20T15:05:45.419424,15.06403093,.0001479,53.0547,168.3791,69.4818,290.6330,0,U,44717,999,31349,.5421E-4,.526E-5,0
STARLINK-1012,2019-074F,2025-07-21T03:10:14.918304,15.06404355,.0001395,53.0554,146.1226,90.1172,269.9977,0,U,44718,999,31401,.25296E-5,-.244E-5,0
STARLINK-1013,2019-074G,2025-07-21T14:00:01.000224,15.85341292,.000698,53.0462,109.6395,67.1368,265.0518,0,U,44719,999,31456,.82677E-3,.205832E-2,0
STARLINK-1015,2019-074J,2025-07-21T06:00:00.999648,15.71187536,.0008831,53.0517,116.5076,62.4760,118.2535,0,U,44721,999,31443,.99261E-3,.129573E-2,0
STARLINK-1017,2019-074L,2025-07-20T13:04:55.932384,15.07966698,.0002865,53.0537,148.5166,54.2686,305.8570,0,U,44723,999,31393,.13339E-2,.20507E-3,0
STARLINK-1019,2019-074M,2025-07-21T03:04:56.846208,15.06402595,.0001613,53.0547,146.1369,92.5950,267.5224,0,U,44724,999,31401,.32774E-4,.207E-5,0
STARLINK-1020,2019-074N,2025-07-21T07:59:33.175968,15.06396953,.0001226,53.0546,165.2201,86.5151,273.5978,0,U,44725,999,31376,.95064E-4,.1135E-4,0
STARLINK-1021,2019-074P,2025-07-20T23:05:04.505280,15.67553811,.0009508,53.0492,121.7101,62.5266,297.6715,0,U,44726,999,31417,.90678E-3,.101439E-2,0
