date,f107_flux,ap_index
2025-06-22,125,9
2025-06-23,122,9
2025-06-24,120,9
2025-06-25,117,16
2025-06-26,117,24
2025-06-27,118,16
2025-06-28,122,8
2025-06-29,128,9
2025-06-30,128,11
2025-07-01,126,7
2025-07-02,130,8
2025-07-03,125,16
2025-07-04,119,11
2025-07-05,117,20
2025-07-06,118,20
2025-07-07,118,20
2025-07-08,115,13
2025-07-09,120,8
2025-07-10,129,6
2025-07-11,132,18
2025-07-12,139,10
2025-07-13,128,17
2025-07-14,128,16
2025-07-15,139,17
2025-07-16,152,14
2025-07-17,156,14
2025-07-18,156,9
2025-07-19,153,8
2025-07-20,150,7
